Time	CID	Xcord	Ycord	BotID	Energy
1337.63	1	0.00	250.00	1	8390.00000
1337.69	3	250.00	0.00	0	4418.75000
1337.69	1	0.00	250.00	1	8420.93750
1337.75	3	250.00	0.00	0	4446.87500
1337.75	1	0.00	250.00	1	8451.87500
1337.81	3	250.00	0.00	0	4475.00000
1337.81	1	0.00	250.00	1	8482.81250
1337.88	3	250.00	0.00	0	4503.12500
1337.88	1	0.00	250.00	1	8513.75000
1337.94	3	250.00	0.00	0	4531.25000
1337.94	1	0.00	250.00	1	8544.68750
1338.00	3	250.00	0.00	0	4559.37500
1338.00	1	0.00	250.00	1	8575.62500
1338.06	3	250.00	0.00	0	4587.50000
1338.06	1	0.00	250.00	1	8606.56250
1338.13	3	250.00	0.00	0	4615.62500
1338.13	1	0.00	250.00	1	8637.50000
1338.19	3	250.00	0.00	0	4643.75000
1338.19	1	0.00	250.00	1	8668.43750
1338.25	3	250.00	0.00	0	4671.87500
